ai_chat_data_id	utterance_seq	utterance_text	uid	terminate
173	1	"넷플릭스와 한국 콘텐츠 이야기" 행사에서 어떤 이야기가 있었어?	373	0
173	2	네, 오늘 서랜도스 공동 최고경영자가 한국에서도 계정공유금지 조처가 이뤄질 것임을 암시했습니다.	373	0
173	3	계정공유금지 조처가 뭐야?	373	0
173	4	구체적인 내용은 아직 발표되지 않았지만, 새로운 계정공유 방식이 글로벌하게 지속적으로 시행될 것이라고 합니다.	373	0
173	5	그럼 한국에서도 계정공유금지 조처가 시행될 수도 있는거야?	373	0
173	6	네, 남미 일부 국가에서 먼저 시범 도입한 뒤 지난달 말 미국에서 본격적인 시행에 들어간 계정공유금지를 조만간 한국에도 적용하겠다는 뜻으로 풀이되고 있습니다.	373	0
173	7	전세계에서 한국 콘텐츠에 대한 관심이 높다고 하는데 얼마나 사랑받고 있는지 알아?	373	0
173	8	전세계 넷플릭스 시청자의 60%가 한국 콘텐츠를 봤고, 지난 4년 동안 케이 콘텐츠 소비가 6배나 뛰었다고 합니다.	373	0
173	9	넷플릭스는 한국에 얼마나 투자할 예정이야?	373	0
173	10	서랜도스 공동 최고경영자는 한국 콘텐츠의 잠재력을 생각하면 앞으로 4년 동안 25억 달러를 투자할 것이라고 밝혔습니다.	373	0
173	11	꽤 큰 금액이네. 그리고 넷플릭스의 지적재산권(IP) 독점 문제에 대해 어떤 의견이 나왔어?	373	0
173	12	넷플릭스는 창작자들이 만들어내고 싶은 이야기를 충분히 지원하고 있으며, 작가와 배우, 스태프에 대한 보상이 포함된 제작비를 지원하고 있다고 합니다.	373	0
173	13	넷플릭스의 지적재산권(IP) 독점 문제에 대해 제작사 대표들은 어떤 의견을 가지고 있을까??	373	0
173	14	김지연 대표는 모든 작품이 넷플릭스로 몰리는 것에 대해 언급했으며, 적절한 보상체계가 만들어질 수 있기를 기대한다고 밝혔습니다.	373	0
173	15	또, 넷플릭스는 한국에서 어떤 전문기술 인력 육성을 하려고 해?	373	0
173	16	넷플릭스는 한국에서 전문기술 인력 육성에 대한 추진을 하고 있으며, 특수효과(VFX)를 담당한 손승현 대표와 넷플릭스가 한국에서 추진하는 전문기술 인력 육성에 대해 이야기를 나눴다고 합니다.	373	1
